,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,retweeted_status,negative,neutral,positive
0,2014-08-12 00:14:37+00:00,498985873724432384,498985873724432384,$AAPL - Two Upstarts Plot Each Other's Demise http://t.co/1Nbvt5jvDn,"<a href=""http://www.advfn.com"" rel=""nofollow"">ADVFN News Alert</a>",False,,,,,,"{'id': 2363110616, 'id_str': '2363110616', 'name': 'TI', 'screen_name': 'Izatoesca', 'location': 'http://www.chemistry.ucla.edu/', 'url': 'http://www.plosgenetics.org/article/info%3Adoi%2F10.1371%2Fjournal.pgen.1002163', 'description': 'http://t.co/V2h7OvLluD\r\nhttp://t.co/mrnKYfiypd\r\nhttp://t.co/EF57k3y4M1\r\nhttp://t.co/1VJOJTIZjh\r\nhttp://t.co/02wZk62r2h\r\nhttp://t.co/o0uJzOiKhQ', 'protected': False, 'verified': False, 'followers_count': 354, 'friends_count': 1998, 'listed_count': 6, 'favourites_count': 2836, 'statuses_count': 3793, 'created_at': 'Wed Feb 26 19:34:36 +0000 2014', 'utc_offset': -10800, 'time_zone': 'Brasilia', 'geo_enabled': True, 'lang': 'pt', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FFF04D', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme19/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme19/bg.gif', 'profile_background_tile': False, 'profile_link_color': '0099CC', 'profile_sidebar_border_color': 'FFF8AD', 'profile_sidebar_fill_color': 'F6FFD1', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/459846207683428352/H9yOyNRU_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/459846207683428352/H9yOyNRU_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2363110616/1394985913', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [], 'trends': [], 'urls': [{'url': 'http://t.co/1Nbvt5jvDn', 'expanded_url': 'http://ih.advfn.com/p.php?pid=nmona&article=63219577&xref=newsalerttweet&adw=1126416', 'display_url': 'ih.advfn.com/p.php?pid=nmon…', 'indices': [46, 68]}], 'user_mentions': [], 'symbols': [{'text': 'AAPL', 'indices': [0, 5]}]}",False,False,True,medium,en,,0.020087278,0.90980446,0.07010823
1,2014-08-12 19:41:42+00:00,499279579841048577,499279579841048576,$AAPL scottrade screwed me. Wasn't able to buy shares at $95.65 cause site was down.,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",False,,,,,,"{'id': 65424301, 'id_str': '65424301', 'name': 'Fanboy101', 'screen_name': 'RealFanboy101', 'location': '', 'url': None, 'description': None, 'protected': False, 'verified': False, 'followers_count': 28, 'friends_count': 0, 'listed_count': 2, 'favourites_count': 0, 'statuses_count': 4954, 'created_at': 'Thu Aug 13 18:02:54 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png', 'default_profile': True, 'default_profile_image': True, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [], 'trends': [], 'urls': [], 'user_mentions': [], 'symbols': [{'text': 'AAPL', 'indices': [0, 5]}]}",False,False,False,medium,en,,0.920075,0.07330379,0.0066213245
2,2014-08-12 15:50:21+00:00,499221358736572416,499221358736572416,RT @SwatOptions: Swat post ' $AAPL closed for 89% profits ' on http://t.co/PjXIp45GH3 http://t.co/gZcYcfTE2M,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,"{'id': 123125462, 'id_str': '123125462', 'name': 'Cutlass', 'screen_name': '72olds', 'location': '', 'url': None, 'description': None, 'protected': False, 'verified': False, 'followers_count': 102, 'friends_count': 166, 'listed_count': 3, 'favourites_count': 59, 'statuses_count': 2537, 'created_at': 'Mon Mar 15 02:43:44 +0000 2010', 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/494247894233276416/EyCfDbnN_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/494247894233276416/EyCfDbnN_normal.jpeg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [], 'trends': [], 'urls': [{'url': 'http://t.co/PjXIp45GH3', 'expanded_url': 'http://SwatOptions.com', 'display_url': 'SwatOptions.com', 'indices': [63, 85]}, {'url': 'http://t.co/gZcYcfTE2M', 'expanded_url': 'http://bit.ly/1kZDPb7', 'display_url': 'bit.ly/1kZDPb7', 'indices': [86, 108]}], 'user_mentions': [{'screen_name': 'SwatOptions', 'name': 'Options Network', 'id': 106504911, 'id_str': '106504911', 'indices': [3, 15]}], 'symbols': [{'text': 'AAPL', 'indices': [29, 34]}]}",False,False,False,medium,en,"{'created_at': 'Tue Aug 12 14:13:08 +0000 2014', 'id': 499196890584326144, 'id_str': '499196890584326144', 'text': ""Swat post ' $AAPL closed for 89% profits ' on http://t.co/PjXIp45GH3 http://t.co/gZcYcfTE2M"", 'source': '<a href=""http://www.swatoptions.com"" rel=""nofollow"">Swat Options Trading Network</a>', 'truncated': False, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 106504911, 'id_str': '106504911', 'name': 'Options Network', 'screen_name': 'SwatOptions', 'location': '', 'url': 'http://www.swatoptions.com/', 'description': 'http://SwatOptions.com is the First Options Trading Network that connects Options Traders, friends and others to share their Options Trading ideas and analysis', 'protected': False, 'verified': False, 'followers_count': 15259, 'friends_count': 78, 'listed_count': 105, 'favourites_count': 489, 'statuses_count': 27869, 'created_at': 'Tue Jan 19 19:48:23 +0000 2010', 'utc_offset': -18000, 'time_zone': 'Lima', 'geo_enabled': False, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/792505110/afa75c88e0cc3cab32742c1aa9365199.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/792505110/afa75c88e0cc3cab32742c1aa9365199.jpeg', 'profile_background_tile': True, 'profile_link_color': '009999', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/3262060736/574aa4144c7c2486b4846542dfb471ec_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/3262060736/574aa4144c7c2486b4846542dfb471ec_normal.png', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweet_count': 1, 'favorite_count': 0, 'entities': {'hashtags': [], 'trends': [], 'urls': [{'url': 'http://t.co/PjXIp45GH3', 'expanded_url': 'http://SwatOptions.com', 'display_url': 'SwatOptions.com', 'indices': [46, 68]}, {'url': 'http://t.co/gZcYcfTE2M', 'expanded_url': 'http://bit.ly/1kZDPb7', 'display_url': 'bit.ly/1kZDPb7', 'indices': [69, 91]}], 'user_mentions': [], 'symbols': [{'text': 'AAPL', 'indices': [12, 17]}]}, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'filter_level': 'low', 'lang': 'en'}",0.013374403,0.8644935,0.12213224
3,2014-08-12 19:11:07+00:00,499271883322167296,499271883322167296,What Can You Buy With Apple’s Cash? - http://t.co/6eXyR3lU6G http://t.co/2b03gdT19o via @dividenddotcom #apple #iphone #stocks #cash $AAPL,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",False,,,,,,"{'id': 2688031591, 'id_str': '2688031591', 'name': 'Lauren Clark', 'screen_name': 'lauren_m_clark', 'location': 'Atlantic City, NJ', 'url': None, 'description': None, 'protected': False, 'verified': False, 'followers_count': 258, 'friends_count': 1000, 'listed_count': 2, 'favourites_count': 6, 'statuses_count': 22, 'created_at': 'Mon Jul 28 17:54:31 +0000 2014', 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': 'B3007A', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/493817142173646851/fsp1Vkcr_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/493817142173646851/fsp1Vkcr_normal.jpeg', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [{'text': 'apple', 'indices': [104, 110]}, {'text': 'iphone', 'indices': [111, 118]}, {'text': 'stocks', 'indices': [119, 126]}, {'text': 'cash', 'indices': [127, 132]}], 'trends': [], 'urls': [{'url': 'http://t.co/6eXyR3lU6G', 'expanded_url': 'http://Dividend.com', 'display_url': 'Dividend.com', 'indices': [38, 60]}, {'url': 'http://t.co/2b03gdT19o', 'expanded_url': 'http://www.dividend.com/how-to-invest/what-can-you-buy-with-apples-cash/', 'display_url': 'dividend.com/how-to-invest/…', 'indices': [61, 83]}], 'user_mentions': [{'screen_name': 'dividenddotcom', 'name': 'Dividend.com', 'id': 34035933, 'id_str': '34035933', 'indices': [88, 103]}], 'symbols': [{'text': 'AAPL', 'indices': [133, 138]}]}",False,False,False,medium,en,,0.00415836,0.6976989,0.29814276
4,2014-08-12 11:11:39+00:00,499151221576720384,499151221576720384,RT @YahooFinance: Apple Suppliers Said to Start Making New IPads http://t.co/505pKqmmPt $AAPL,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,"{'id': 707864818, 'id_str': '707864818', 'name': 'Giacomo Piazza', 'screen_name': 'giacomo_piazza', 'location': 'Milan', 'url': None, 'description': ""I'm interested in global economies, finance, management and marketing principles."", 'protected': False, 'verified': False, 'followers_count': 134, 'friends_count': 131, 'listed_count': 1, 'favourites_count': 496, 'statuses_count': 10654, 'created_at': 'Thu Oct 10 13:11:42 +0000 2013', 'utc_offset': 7200, 'time_zone': 'Amsterdam', 'geo_enabled': False, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '18B300', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/490821301083582464/L6UUQMIO_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/490821301083582464/L6UUQMIO_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/707864818/1404325588', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [], 'trends': [], 'urls': [{'url': 'http://t.co/505pKqmmPt', 'expanded_url': 'http://yhoo.it/1vBOKfu', 'display_url': 'yhoo.it/1vBOKfu', 'indices': [65, 87]}], 'user_mentions': [{'screen_name': 'YahooFinance', 'name': 'Yahoo Finance', 'id': 19546277, 'id_str': '19546277', 'indices': [3, 16]}], 'symbols': [{'text': 'AAPL', 'indices': [88, 93]}]}",False,False,False,medium,en,"{'created_at': 'Tue Aug 12 11:09:06 +0000 2014', 'id': 499150578174656512, 'id_str': '499150578174656512', 'text': 'Apple Suppliers Said to Start Making New IPads http://t.co/505pKqmmPt $AAPL', 'source': '<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>', 'truncated': False, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 19546277, 'id_str': '19546277', 'name': 'Yahoo Finance', 'screen_name': 'YahooFinance', 'location': 'New York, NY', 'url': 'http://finance.yahoo.com', 'description': 'Yahoo Finance is your go-to place for financial news, data, and more! 100% feed-free tweets. Retweets are not necessarily endorsements.', 'protected': False, 'verified': True, 'followers_count': 366502, 'friends_count': 1498, 'listed_count': 6561, 'favourites_count': 885, 'statuses_count': 53712, 'created_at': 'Mon Jan 26 17:44:44 +0000 2009', 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000067155426/dd5eb88971d6f7e288e80d6e1f6b3bdf.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000067155426/dd5eb88971d6f7e288e80d6e1f6b3bdf.jpeg', 'profile_background_tile': False, 'profile_link_color': '0E0AFF', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'FFFFFF', 'profile_text_color': '3F3F3F', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000413786751/f1b91288f21b6316c65ffde54fe0d24d_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000413786751/f1b91288f21b6316c65ffde54fe0d24d_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/19546277/1398288735', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweet_count': 3, 'favorite_count': 2, 'entities': {'hashtags': [], 'trends': [], 'urls': [{'url': 'http://t.co/505pKqmmPt', 'expanded_url': 'http://yhoo.it/1vBOKfu', 'display_url': 'yhoo.it/1vBOKfu', 'indices': [47, 69]}], 'user_mentions': [], 'symbols': [{'text': 'AAPL', 'indices': [70, 75]}]}, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'filter_level': 'low', 'lang': 'en'}",0.004644966,0.7534041,0.24195084
5,2014-08-12 14:43:35+00:00,499204556354768896,499204556354768896,$AAPL - MARKET SNAPSHOT: U.S. Stocks Volatile; Job Openings Rise In June http://t.co/WitaxXHIJk,"<a href=""http://www.advfn.com"" rel=""nofollow"">ADVFN News Alert</a>",False,,,,,,"{'id': 831258415, 'id_str': '831258415', 'name': 'VisualStock Resource', 'screen_name': 'VisualStockR', 'location': 'U.S.A.', 'url': None, 'description': 'This is a news feed service. Please add this feed into a separate window. Learn how to trade here http://bit.ly/1c1NljX. I am a paying member!', 'protected': False, 'verified': False, 'followers_count': 592, 'friends_count': 45, 'listed_count': 20, 'favourites_count': 1, 'statuses_count': 92417, 'created_at': 'Tue Sep 18 15:12:29 +0000 2012', 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2623309197/cut0zz5dlalntrbs3dfo_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2623309197/cut0zz5dlalntrbs3dfo_normal.png', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [], 'trends': [], 'urls': [{'url': 'http://t.co/WitaxXHIJk', 'expanded_url': 'http://ih.advfn.com/p.php?pid=nmona&article=63227157&xref=newsalerttweet&adw=1126416', 'display_url': 'ih.advfn.com/p.php?pid=nmon…', 'indices': [73, 95]}], 'user_mentions': [], 'symbols': [{'text': 'AAPL', 'indices': [0, 5]}]}",False,False,False,medium,en,,0.014672863,0.8307768,0.15455036
6,2014-08-12 16:45:02+00:00,499235120235433984,499235120235433984,Getting my $AAPL dividends in two days. Yay.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,,,,,,"{'id': 16741846, 'id_str': '16741846', 'name': 'Kári Emil', 'screen_name': 'kariemil', 'location': 'Reykjavík, Iceland', 'url': 'http://www.kariemil.com/', 'description': 'Graphic designer. Glitch house. Critical realness. Íslenska: @vegfarandi', 'protected': False, 'verified': False, 'followers_count': 546, 'friends_count': 558, 'listed_count': 19, 'favourites_count': 1396, 'statuses_count': 10098, 'created_at': 'Tue Oct 14 17:09:33 +0000 2008', 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/466259942647681024/omcsK2dx_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/466259942647681024/omcsK2dx_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/16741846/1401705476', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [], 'trends': [], 'urls': [], 'user_mentions': [], 'symbols': [{'text': 'AAPL', 'indices': [11, 16]}]}",False,False,False,medium,en,,0.0017276134,0.017703274,0.9805692
7,2014-08-12 20:49:27+00:00,499296629716156417,499296629716156416,"A Whole Lot of Nothing Going on, but…#SassyMusings 8/12/14 $SPY $IWM $QQQ $KATE $ICPT $AAPL $TWTR http://t.co/uk8qj0daQX","<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",False,,,,,,"{'id': 375980238, 'id_str': '375980238', 'name': 'Rachel', 'screen_name': 'Sassy_SPY', 'location': 'New York', 'url': 'http://www.sassyoptions.com', 'description': 'Trader - Sassy - UCLA and USC Graduate - Contributer to The Street (http://www.thestreet.com/author/1525293/RachelShasha/all.html)', 'protected': False, 'verified': False, 'followers_count': 6506, 'friends_count': 90, 'listed_count': 233, 'favourites_count': 4047, 'statuses_count': 16039, 'created_at': 'Mon Sep 19 02:47:10 +0000 2011', 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000676317834/b65698f8a6877ec6b8a328d0edf9a119_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000676317834/b65698f8a6877ec6b8a328d0edf9a119_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/375980238/1396134461', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [{'text': 'SassyMusings', 'indices': [37, 50]}], 'trends': [], 'urls': [{'url': 'http://t.co/uk8qj0daQX', 'expanded_url': 'http://stks.co/s0eyX', 'display_url': 'stks.co/s0eyX', 'indices': [98, 120]}], 'user_mentions': [], 'symbols': [{'text': 'SPY', 'indices': [59, 63]}, {'text': 'IWM', 'indices': [64, 68]}, {'text': 'QQQ', 'indices': [69, 73]}, {'text': 'KATE', 'indices': [74, 79]}, {'text': 'ICPT', 'indices': [80, 85]}, {'text': 'AAPL', 'indices': [86, 91]}, {'text': 'TWTR', 'indices': [92, 97]}]}",False,False,False,medium,en,,0.1320668,0.71706057,0.1508727
8,2014-08-12 18:30:03+00:00,499261548548730881,499261548548730880,Apple: Hardware Innovation Is No Longer Enough http://t.co/IxZ44AGQeA $AAPL,"<a href=""http://seekingalpha.com"" rel=""nofollow"">Seeking Alpha Apple</a>",False,,,,,,"{'id': 2173999435, 'id_str': '2173999435', 'name': 'AAPL Stock Alerts', 'screen_name': 'SAlphaAAPL', 'location': 'New York', 'url': 'http://seekingalpha.com/symbol/aapl', 'description': 'News and articles about AAPL from Seeking Alpha. Read More: http://seekingalpha.com/symbol/aapl/news', 'protected': False, 'verified': False, 'followers_count': 502, 'friends_count': 15, 'listed_count': 11, 'favourites_count': 0, 'statuses_count': 3732, 'created_at': 'Mon Nov 04 13:15:33 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000109529681/c74d2042a05078878683a8ba5186b2b8.png', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000109529681/c74d2042a05078878683a8ba5186b2b8.png', 'profile_background_tile': False, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000693410360/faa6d00b7d8eead61a92b2de708d5a7d_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000693410360/faa6d00b7d8eead61a92b2de708d5a7d_normal.png', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [], 'trends': [], 'urls': [{'url': 'http://t.co/IxZ44AGQeA', 'expanded_url': 'http://seekingalpha.com/article/2381485-apple-hardware-innovation-is-no-longer-enough?source=feed_tickers', 'display_url': 'seekingalpha.com/article/238148…', 'indices': [47, 69]}], 'user_mentions': [], 'symbols': [{'text': 'AAPL', 'indices': [70, 75]}]}",False,False,False,medium,en,,0.628702,0.32161167,0.049686346
9,2014-08-12 18:13:03+00:00,499257270341873664,499257270341873664,$AAPL: Apple And Its BRIC-Solid Strategy (AAPL) http://t.co/hOreKYkMIX http://t.co/Cp1jHKavzc,"<a href=""http://applesupporter.blogspot.com"" rel=""nofollow"">Apple Supporter</a>",False,,,,,,"{'id': 2343493700, 'id_str': '2343493700', 'name': 'Apple Supporter', 'screen_name': 'iapplesupporter', 'location': '', 'url': None, 'description': 'Supports Apple and its stock', 'protected': False, 'verified': False, 'followers_count': 29, 'friends_count': 4, 'listed_count': 1, 'favourites_count': 0, 'statuses_count': 8391, 'created_at': 'Fri Feb 14 12:12:17 +0000 2014', 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/489982008550907904/7xR7J5_2_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/489982008550907904/7xR7J5_2_normal.jpeg', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0,0,"{'hashtags': [], 'trends': [], 'urls': [{'url': 'http://t.co/hOreKYkMIX', 'expanded_url': 'http://stockratingreport.com/i.php?http://seekingalpha.com/article/2414985-apple-and-its-bric-solid-strategy?source%3Dgoogle_news&t6t=AAPL', 'display_url': 'stockratingreport.com/i.php?http://s…', 'indices': [48, 70]}], 'user_mentions': [], 'symbols': [{'text': 'AAPL', 'indices': [0, 5]}], 'media': [{'id': 499257270073430016, 'id_str': '499257270073430016', 'indices': [71, 93], 'media_url': 'http://pbs.twimg.com/media/Bu2314pCEAA3wkQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Bu2314pCEAA3wkQ.jpg', 'url': 'http://t.co/Cp1jHKavzc', 'display_url': 'pic.twitter.com/Cp1jHKavzc', 'expanded_url': 'http://twitter.com/iapplesupporter/status/499257270341873664/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 4, 'h': 4, 'resize': 'fit'}, 'medium': {'w': 4, 'h': 4, 'resize': 'fit'}, 'thumb': {'w': 4, 'h': 4, 'resize': 'crop'}, 'large': {'w': 4, 'h': 4, 'resize': 'fit'}}}]}",False,False,False,medium,en,,0.005941841,0.71446604,0.27959213
