Date,date,Diff
2016-12-30,20161230,
2017-01-03,20170103,
2017-01-04,20170104,1.0
2017-01-05,20170105,1.0
2017-01-06,20170106,-1.0
2017-01-09,20170109,1.0
2017-01-10,20170110,1.0
2017-01-11,20170111,-1.0
2017-01-12,20170112,-1.0
2017-01-13,20170113,1.0
2017-01-17,20170117,1.0
2017-01-18,20170118,-1.0
2017-01-19,20170119,1.0
2017-01-20,20170120,1.0
2017-01-23,20170123,1.0
2017-01-24,20170124,1.0
2017-01-25,20170125,1.0
2017-01-26,20170126,-1.0
2017-01-27,20170127,-1.0
2017-01-30,20170130,1.0
2017-01-31,20170131,-1.0
2017-02-01,20170201,1.0
2017-02-02,20170202,-1.0
2017-02-03,20170203,1.0
2017-02-06,20170206,-1.0
2017-02-07,20170207,1.0
2017-02-08,20170208,-1.0
2017-02-09,20170209,1.0
2017-02-10,20170210,1.0
2017-02-13,20170213,1.0
2017-02-14,20170214,1.0
2017-02-15,20170215,-1.0
2017-02-16,20170216,-1.0
2017-02-17,20170217,-1.0
2017-02-21,20170221,1.0
2017-02-22,20170222,1.0
2017-02-23,20170223,-1.0
2017-02-24,20170224,-1.0
2017-02-27,20170227,-1.0
2017-02-28,20170228,-1.0
2017-03-01,20170301,1.0
2017-03-02,20170302,-1.0
2017-03-03,20170303,1.0
2017-03-06,20170306,-1.0
2017-03-07,20170307,1.0
2017-03-08,20170308,-1.0
2017-03-09,20170309,-1.0
2017-03-10,20170310,-1.0
2017-03-13,20170313,-1.0
2017-03-14,20170314,1.0
2017-03-15,20170315,1.0
2017-03-16,20170316,1.0
2017-03-17,20170317,1.0
2017-03-20,20170320,-1.0
2017-03-21,20170321,1.0
2017-03-22,20170322,-1.0
2017-03-23,20170323,1.0
2017-03-24,20170324,1.0
2017-03-27,20170327,1.0
2017-03-28,20170328,1.0
2017-03-29,20170329,1.0
2017-03-30,20170330,1.0
2017-03-31,20170331,1.0
2017-04-03,20170403,1.0
2017-04-04,20170404,1.0
2017-04-05,20170405,1.0
2017-04-06,20170406,-1.0
2017-04-07,20170407,1.0
2017-04-10,20170410,1.0
2017-04-11,20170411,1.0
2017-04-12,20170412,-1.0
2017-04-13,20170413,-1.0
2017-04-17,20170417,1.0
2017-04-18,20170418,-1.0
2017-04-19,20170419,1.0
2017-04-20,20170420,1.0
2017-04-21,20170421,-1.0
2017-04-24,20170424,1.0
2017-04-25,20170425,1.0
2017-04-26,20170426,1.0
2017-04-27,20170427,-1.0
2017-04-28,20170428,-1.0
2017-05-01,20170501,1.0
2017-05-02,20170502,1.0
2017-05-03,20170503,-1.0
2017-05-04,20170504,-1.0
2017-05-05,20170505,-1.0
2017-05-08,20170508,1.0
2017-05-09,20170509,1.0
2017-05-10,20170510,1.0
2017-05-11,20170511,1.0
2017-05-12,20170512,1.0
2017-05-15,20170515,-1.0
2017-05-16,20170516,-1.0
2017-05-17,20170517,-1.0
2017-05-18,20170518,-1.0
2017-05-19,20170519,1.0
2017-05-22,20170522,-1.0
2017-05-23,20170523,-1.0
2017-05-24,20170524,-1.0
2017-05-25,20170525,1.0
