,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,negative,neutral,positive
0,0,0,1000888598072193025,1000888598072193025,2018-05-27 23:56:52 UTC,2018-05-27,23:56:52,0,42102154,vijmn,Manish Vij,,"The Tesla autopilot crashing bug (literally). In lane split, gets confused and dives at the divider.  https://t.co/oMw3teGnL4",en,[],[],[],10,32,71,[],[],https://twitter.com/vijmn/status/1000888598072193025,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1000888458389241856/pu/img/oPZ0fYM3Kt0C-pFT.jpg,,,,,,,[],,,,,0.8477256,0.1443578,0.007916689
1,1,1,1000873725015797761,1000873725015797761,2018-05-27 22:57:46 UTC,2018-05-27,22:57:46,0,560445985,dadshot,Jeff Haag,,First swings of the year! Let’s play for car titles @Nadeshot !!! I need a Tesla in my driveway!  https://t.co/h8gqRBpsEw,en,"[{'screen_name': 'nadeshot', 'name': '100t nadeshot', 'id': '161418822'}]",[],[],6,9,380,[],[],https://twitter.com/DaDSHoT/status/1000873725015797761,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1000873689401954305/pu/img/n9Bens5m_15yeOe5.jpg,,,,,,,[],,,,,0.0072551062,0.11859878,0.8741459
2,2,2,1000860904383242241,1000860904383242241,2018-05-27 22:06:49 UTC,2018-05-27,22:06:49,0,123954416,kimmymonte,kim,,mom’s in my neighborhood are all like hi this is my newborn Tesla she’s 49 episodes of Game of Thrones days old and is highly allergic to shark bites,en,[],[],[],3,33,206,[],[],https://twitter.com/KimmyMonte/status/1000860904383242241,False,,0,,,,,,,,[],,,,,0.38113737,0.48845327,0.13040932
3,3,3,1000860586878488577,1000860586878488577,2018-05-27 22:05:33 UTC,2018-05-27,22:05:33,0,1854401,vinnylingham,Vinny Lingham,,"Journalists who want to report on @Tesla outliers should be required to complete a course on statistics and probabilities. @ElonMusk has never promised to eliminate all automotive travel risks, instead continually making it orders of magnitude safer, statistically, over time.",en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],16,37,243,[],[],https://twitter.com/VinnyLingham/status/1000860586878488577,False,,0,,,,,,,,[],,,,,0.44716743,0.52425545,0.028577114
4,4,4,1000839551001223169,1000839551001223169,2018-05-27 20:41:58 UTC,2018-05-27,20:41:58,0,233657749,widodh,Wido,,"Saw the @Tesla Model 3 for the first time, awesome. Love it!  https://t.co/vV15qTvl7h",en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],"['https://pbs.twimg.com/media/DeOyQPLU0AADRZ0.jpg', 'https://pbs.twimg.com/media/DeOyQPMUwAAPzyQ.jpg', 'https://pbs.twimg.com/media/DeOyQPKV4AAMLog.jpg', 'https://pbs.twimg.com/media/DeOyQPNU8AIo9cn.jpg']",5,14,90,[],[],https://twitter.com/widodh/status/1000839551001223169,False,,1,https://pbs.twimg.com/media/DeOyQPLU0AADRZ0.jpg,,,,,,,[],,,,,0.002496806,0.007720086,0.98978317
5,5,5,1000836565118214144,1000836565118214144,2018-05-27 20:30:06 UTC,2018-05-27,20:30:06,0,14342661,caranddriver,Car and Driver,,"The @Tesla Roadster could be the fastest production car in the world—provided it actually gets built, of course:  https://t.co/HzPC4ofAyR  https://t.co/7OTB44upTz",en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",['http://crdrv.co/VNolcxr'],['https://pbs.twimg.com/media/DeOvjSmXcAAV4H9.jpg'],12,30,192,[],[],https://twitter.com/CARandDRIVER/status/1000836565118214144,False,,1,https://pbs.twimg.com/media/DeOvjSmXcAAV4H9.jpg,,,,,,,[],,,,,0.002430788,0.071882285,0.9256869
6,6,6,1000828068141842432,1000828068141842432,2018-05-27 19:56:20 UTC,2018-05-27,19:56:20,0,565198801,teslainventory,Erik in DÆrik,,After driving a Tesla Model 3 for 32 hours with @seanmmitchell I just drove my S100D... I put it in neutral thinking I disengaged autopilot! Haha. My bad. I guess I got used to the 3! @tesla @elonmusk,en,"[{'screen_name': 'seanmmitchell', 'name': 'sean mitchell', 'id': '17206078'}, {'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],5,6,65,[],[],https://twitter.com/teslainventory/status/1000828068141842432,False,,0,,,,,,,,[],,,,,0.13230802,0.4665272,0.4011647
7,7,7,1000825003993165830,1000825003993165830,2018-05-27 19:44:10 UTC,2018-05-27,19:44:10,0,27578143,juicediem,Brandon -- Protest. Donate.,,Test driving the @Tesla model x. Omg omg  https://t.co/xx5kPd7n0A,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],"['https://pbs.twimg.com/media/DeOlA_YX4AEwK9l.jpg', 'https://pbs.twimg.com/media/DeOlBWIXcAAKCty.jpg', 'https://pbs.twimg.com/media/DeOlBu3W4AE00-l.jpg', 'https://pbs.twimg.com/media/DeOlCInWAAEik7k.jpg']",28,36,862,[],[],https://twitter.com/juiceDiem/status/1000825003993165830,False,,1,https://pbs.twimg.com/media/DeOlA_YX4AEwK9l.jpg,,,,,,,[],,,,,0.0028019396,0.05652273,0.9406753
8,8,8,1000821910026964992,1000821910026964992,2018-05-27 19:31:52 UTC,2018-05-27,19:31:52,0,18691746,juliagalef,Julia Galef,,Very quickly: -Elon’s wrong to complain about negative coverage of Tesla -Elon’s right that “clicks” shape a lot of journalism &amp; this has bad effects -Elon doesn’t deserve blame for not knowing The Knife is run by a cult -Elon’s media rating site is a bad idea,en,[],[],[],110,86,899,[],[],https://twitter.com/juliagalef/status/1000821910026964992,False,,0,,,,,,,,[],,,,,0.9021369,0.092718594,0.005144523
9,9,9,1000818565988143104,1000818565988143104,2018-05-27 19:18:35 UTC,2018-05-27,19:18:35,0,2372547126,johnhay8888,John Hay,,"So the Tesla Model 3 can drive 975 km on single charge - longer than the entire length of Germany from North to South (876 km). Completely debunks the myth that electric cars are only useful for short ranges within cities. Other car manufacturers need to catch up, and quickly  https://t.co/ODllj7pkAA",en,[],['https://twitter.com/tesla/status/1000815546282082304'],[],2,59,90,[],[],https://twitter.com/johnhay8888/status/1000818565988143104,False,https://twitter.com/tesla/status/1000815546282082304,0,,,,,,,,[],,,,,0.0220967,0.40383285,0.5740704
