id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1221581586791063554,1221581586791063554,2020-01-26 23:52:00 UTC,2020-01-26,23:52:00,+0000,1010845229182803968,pollstesla,Tesla Polls,,"I just found out my niece wants to buy a Tesla so she can drive home in “autopilot” after working the night shift as an RN 😳  I gave my brother, her Dad, a heads up on Tesla.  What should I stress the most, without overwhelming my brother and his daughter?  $tslaq",en,[],[],[],107,7,169,[],['tslaq'],https://twitter.com/PollsTesla/status/1221581586791063554,False,,0,,,,,,,,[],,,,
1221569811907534850,1221569811907534850,2020-01-26 23:05:13 UTC,2020-01-26,23:05:13,+0000,48819257,21p,David Reyna,,Almost a year later my fiancé refuses to peel the plastic off her @Tesla #model3  https://t.co/vfa2PLjdk0,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],['https://pbs.twimg.com/media/EPPjQ_xXkAEJwEl.jpg'],30,5,94,['model3'],[],https://twitter.com/21p/status/1221569811907534850,False,,1,https://pbs.twimg.com/media/EPPjQ_xXkAEJwEl.jpg,,,,,,,[],,,,
1221564700468617217,1221564700468617217,2020-01-26 22:44:54 UTC,2020-01-26,22:44:54,+0000,88353838,danilolarac,Eventually.🍃,,csm se viene una película de Thomas Alva Edison y Nicola Tesla 😨😨😨  https://t.co/xSSSdkwLFy,es,[],[],['https://pbs.twimg.com/media/EPPemZGWkAAH6gJ.jpg'],10,5,62,[],[],https://twitter.com/DaniloLaraC/status/1221564700468617217,False,,1,https://pbs.twimg.com/media/EPPemZGWkAAH6gJ.jpg,,,,,,,[],,,,
1221564690691575808,1221564690691575808,2020-01-26 22:44:52 UTC,2020-01-26,22:44:52,+0000,1689516060,vincent13031925,vincentyu.eth,,“The Competitions are coming”  “The Competitions are coming”  “The Competitions are coming”  AND...... Reality....  ⚠️ Hyped Tesla Killer Audi E-Tron Is Now Facing More Headwinds  Thanks @PatrickSeelbach for the tip.  $TSLA #Tesla   Detail :👇🏻  https://t.co/goIaJ2iCAQ,en,"[{'screen_name': 'patrickseelbach', 'name': 'patrick seelbach', 'id': '3892237283'}]",['https://www.tesmanian.com/blogs/tesmanian-blog/hyped-tesla-killer-audi-e-tron-is-now-facing-more-headwinds'],[],12,38,171,['tesla'],['tsla'],https://twitter.com/vincent13031925/status/1221564690691575808,False,,0,,,,,,,,[],,,,
1221564574807330816,1221564574807330816,2020-01-26 22:44:24 UTC,2020-01-26,22:44:24,+0000,959471389282578432,evafoxu,Eva Fox 狐🦊❤️🇺🇦,,"The @AudiOfficial plant officially announced that the manufacturer is experiencing problems with suppliers of battery parts 😐  The production of electric vehicles is not an easy task, @elonmusk knows this 🔋👏🏻 #Tesla #Audi   https://t.co/q0MpnKUaQW",en,"[{'screen_name': 'audiofficial', 'name': 'audi', 'id': '29679737'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",['https://www.tesmanian.com/blogs/tesmanian-blog/hyped-tesla-killer-audi-e-tron-is-now-facing-more-headwinds'],[],8,14,86,"['tesla', 'audi']",[],https://twitter.com/EvaFoxU/status/1221564574807330816,False,,0,,,,,,,,[],,,,
1221561002820538369,1221561002820538369,2020-01-26 22:30:13 UTC,2020-01-26,22:30:13,+0000,14342661,caranddriver,Car and Driver,,".@LEGO_Group @Tesla Cybertruck fan model gets 10,000 votes to become real:  https://t.co/5NGyhGO2Sv  https://t.co/jsYiMSrXq0",en,"[{'screen_name': 'lego_group', 'name': 'lego', 'id': '295325513'}, {'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",['http://crdrv.co/Y79eWw8'],['https://pbs.twimg.com/media/EPPbQawWkAEaOJc.jpg'],6,28,219,[],[],https://twitter.com/CARandDRIVER/status/1221561002820538369,False,,1,https://pbs.twimg.com/media/EPPbQawWkAEaOJc.jpg,,,,,,,[],,,,
1221555358382149633,1221555358382149633,2020-01-26 22:07:47 UTC,2020-01-26,22:07:47,+0000,895505467387936769,marshmall0wpeep,MP Capital,,Today’s example of why Tesla owners are THE WORST!,en,[],[],[],27,12,110,[],[],https://twitter.com/Marshmall0wpeep/status/1221555358382149633,False,https://twitter.com/KamieRoeslerTC/status/1172137052038664192,0,,,,,,,,[],,,,
1221548590478217216,1221548590478217216,2020-01-26 21:40:53 UTC,2020-01-26,21:40:53,+0000,38636060,therealltb,Tom Beck,,Tesla Model Y spotted at the Burbank Super Charger  https://t.co/x5R0ekVNtI,en,[],[],['https://pbs.twimg.com/media/EPPP9wIU0AEYkGW.jpg'],7,19,180,[],[],https://twitter.com/therealltb/status/1221548590478217216,False,,1,https://pbs.twimg.com/media/EPPP9wIU0AEYkGW.jpg,,,,,,,[],,,,
1221544511878418432,1221544511878418432,2020-01-26 21:24:41 UTC,2020-01-26,21:24:41,+0000,1139310453987745792,thirdrowtesla,Third Row Tesla Podcast,,Tesla will absolutely revolutionize EV battery tech  https://t.co/paghUXZTjQ,en,[],['https://twitter.com/flcnhvy/status/1221544245242335233/video/1'],[],4,66,354,[],[],https://twitter.com/thirdrowtesla/status/1221544511878418432,False,,0,,,,,,,,[],,,,
1221539730791120898,1221539730791120898,2020-01-26 21:05:41 UTC,2020-01-26,21:05:41,+0000,1442786262,galadongaming,Galadon Gaming,,"The $65,000 Tesla! CONGRATS Tribe Gaming on the Town Hall 13 Tournament victory!  A 12-12 tie that was decided by 1.4% Damage!!! #ClashofClans #TribeWin #TribeCoC  https://t.co/wb04MkxWJB",en,[],[],['https://pbs.twimg.com/media/EPPH572UwAE1bha.jpg'],12,24,171,"['clashofclans', 'tribewin', 'tribecoc']",[],https://twitter.com/GaladonGaming/status/1221539730791120898,False,,1,https://pbs.twimg.com/media/EPPH572UwAE1bha.jpg,,,,,,,[],,,,
1221539686302117888,1221539686302117888,2020-01-26 21:05:30 UTC,2020-01-26,21:05:30,+0000,560174496,ludicrousfeed,Ludicrous Feed,,I am day 323 of my current setup of 8.4kW solar + @Tesla PowerWall2  Here are the stats from the app:  Average: - 19.8kWh usage/day (4-person household) - 32.8kWh solar/day - 4.1kWh from grid/day - 15.1kWh export to grid/day  Will use in my upcoming Payback video - 2020 update,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],[],7,15,127,[],[],https://twitter.com/LudicrousFeed/status/1221539686302117888,False,,0,,,,,,,,[],,,,
1221537040849948674,1221537040849948674,2020-01-26 20:55:00 UTC,2020-01-26,20:55:00,+0000,14834302,elespectador,El Espectador,,Desactivan siete bombas de Segunda Guerra Mundial en futura planta alemana de Tesla  https://t.co/klXlLXC8lY  https://t.co/mUEsoCrREz,es,[],['http://bit.ly/2TXKBUE'],['https://pbs.twimg.com/media/EPOpRyAX0AAzF-j.jpg'],0,36,139,[],[],https://twitter.com/elespectador/status/1221537040849948674,False,,1,https://pbs.twimg.com/media/EPOpRyAX0AAzF-j.jpg,,,,,,,[],,,,
1221530280676089857,1221530280676089857,2020-01-26 20:28:08 UTC,2020-01-26,20:28:08,+0000,17182121,wadeanderson,Wade Anderson,,Meeting another member of the Tesla community which is not @28delayslater  It's @bonnienorman 😀  https://t.co/u5TjG4Dxxd,en,"[{'screen_name': '28delayslater', 'name': '🇺🇦 🦊 earl of frunkpuppy 🇺🇦', 'id': '998140573008695296'}, {'screen_name': 'bonnienorman', 'name': 'bonnie norman 🌻', 'id': '195009699'}]",[],['https://pbs.twimg.com/media/EPO_T7UUcAEIHxS.jpg'],3,4,98,[],[],https://twitter.com/wadeanderson/status/1221530280676089857,False,,1,https://pbs.twimg.com/media/EPO_T7UUcAEIHxS.jpg,,,,,,,[],,,,
1221529737014784002,1221529737014784002,2020-01-26 20:25:58 UTC,2020-01-26,20:25:58,+0000,1105840274322980864,teslatruckclub,"⚙️ Mike, CyberOwners, @TeslaTruckClub 🦾",,Both #Tesla trucks together #TeslaSemi #Cybertruck  https://t.co/P8DblTIQa7,en,[],[],['https://pbs.twimg.com/media/EPO-0iMUwAULdXM.jpg'],4,15,123,"['tesla', 'teslasemi', 'cybertruck']",[],https://twitter.com/TeslaTruckClub/status/1221529737014784002,False,,1,https://pbs.twimg.com/media/EPO-0iMUwAULdXM.jpg,,,,,,,[],,,,
1221523200577662976,1221523200577662976,2020-01-26 20:00:00 UTC,2020-01-26,20:00:00,+0000,3058271848,thescitechguy,The SciTech Guy,,This battle of the gods using Tesla lighting ⚡️⚡️⚡️  https://t.co/AmKE1gGorI,en,[],[],[],5,68,157,[],[],https://twitter.com/theSciTechGuy/status/1221523200577662976,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1221513461361979395/pu/img/4_sOzJxOWe1DquAE.jpg,,,,,,,[],,,,
1221517322554245120,1221517322554245120,2020-01-26 19:36:39 UTC,2020-01-26,19:36:39,+0000,121961272,kimpall,Kim Pallister,,"First car accident in almost 30 years. Tesla totaled. On the plus side, these airbag gizmos work pretty well!",en,[],[],[],37,0,51,[],[],https://twitter.com/kimpall/status/1221517322554245120,False,,0,,,,,,,,[],,,,
1221511429288812546,1221511429288812546,2020-01-26 19:13:13 UTC,2020-01-26,19:13:13,+0000,372935591,gerardfianen,Gerard Fianen 👀,,Any professional journalist tasked with following Tesla should listen to every episode of the Tesla Daily podcast  https://t.co/C3xTONOQGu  Rob does a lot of the groundwork for you and it will also prevent you from making mistakes or unintentionally spreading fake $TSLA news.,en,[],['http://techcastdaily.com/'],[],2,20,126,[],['tsla'],https://twitter.com/gerardfianen/status/1221511429288812546,False,,0,,,,,,,,[],,,,
1221509400533311488,1221509400533311488,2020-01-26 19:05:10 UTC,2020-01-26,19:05:10,+0000,17698709,superscientific,Danny Winget,,I thought I knew what color wrap I wanted for my Tesla Model 3 and then I came across this. What do you think? 😍  https://t.co/zaNWshX1vC,en,[],[],['https://pbs.twimg.com/media/EPOsU0aWsAAjUK4.jpg'],54,12,526,[],[],https://twitter.com/superscientific/status/1221509400533311488,False,,1,https://pbs.twimg.com/media/EPOsU0aWsAAjUK4.jpg,,,,,,,[],,,,
1221500551067656193,1221500551067656193,2020-01-26 18:30:00 UTC,2020-01-26,18:30:00,+0000,58747912,jvcom,JV - Jeux vidéo,,"Chez CD Projekt, on a de l'humour !  Lorsque Elon Musk a évoqué la possibilité de pouvoir jouer à The Witcher dans une Tesla, le studio s'est contenté de répondre ""Comment est-ce que ça pourrait mal se passer ?"" … et cette image :  https://t.co/Kafg4jyxHQ",fr,[],[],['https://pbs.twimg.com/media/EPOfek3WAAEXqOo.jpg'],10,200,1393,[],[],https://twitter.com/JVCom/status/1221500551067656193,False,,1,https://pbs.twimg.com/media/EPOfek3WAAEXqOo.jpg,,,,,,,[],,,,
1221493167515668481,1221493167515668481,2020-01-26 18:00:40 UTC,2020-01-26,18:00:40,+0000,1308211178,teslarati,TESLARATI,,"Tesla Model X, Model S factory wireless phone charger may finally arrive  https://t.co/qa1Crfwlch",en,[],['https://www.teslarati.com/tesla-model-x-model-s-wireless-phone-charger'],[],5,38,390,[],[],https://twitter.com/Teslarati/status/1221493167515668481,False,,0,,,,,,,,[],,,,
